name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;262;0;215;3169;2035;3169;2103;0
header;490;141;490;174;2127;174;2127;141
A;260;132;260;134;262;134;262;132
A;1293;205;1293;231;1314;231;1314;205
A;260;209;260;210;260;210;260;209
A;260;425;260;427;262;427;262;425
D;736;798;736;816;749;816;749;798
B;1291;881;1291;907;1309;907;1309;881
A;461;1155;461;1155;461;1155;461;1155
C;1283;1549;1283;1578;1304;1578;1304;1549
A;1895;1678;1895;1685;1905;1685;1905;1678
A;370;1838;370;1840;372;1840;372;1838
B;1320;2091;1320;2117;1334;2117;1334;2091
D;1279;2239;1279;2268;1301;2268;1301;2239
A;335;2284;335;2284;336;2284;336;2284
A;1698;2319;1698;2343;1711;2343;1711;2319
A;430;2635;430;2635;431;2635;431;2635
