name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;186;0;139;3151;1293;3151;1293;0
header;459;144;459;180;2087;180;2087;144
A;527;111;527;111;527;111;527;111
A;1259;204;1259;233;1282;233;1282;204
B;1257;876;1257;905;1280;905;1280;876
C;1258;1547;1258;1576;1279;1576;1279;1547
B;945;1829;945;1848;959;1848;959;1829
A;439;1890;439;1892;440;1892;440;1890
B;824;2106;824;2125;839;2125;839;2106
D;1254;2194;1254;2224;1281;2224;1281;2194
C;1109;2473;1109;2492;1124;2492;1124;2473
A;1120;2884;1120;2884;1120;2884;1120;2884
A;325;3045;325;3046;326;3046;326;3045
